iter	Passed	Remaining
0	150	150144
1	151	75703
2	153	51048
3	155	38734
4	157	31300
5	159	26469
6	161	22845
7	162	20169
8	165	18170
9	166	16450
10	166	14995
11	168	13846
12	169	12848
13	169	11963
14	171	11238
15	172	10582
16	173	10048
17	174	9517
18	175	9076
19	177	8676
20	177	8291
21	178	7939
22	179	7632
23	180	7349
24	181	7074
25	182	6821
26	182	6591
27	183	6371
28	184	6169
29	184	5980
30	185	5801
31	186	5655
32	187	5507
33	188	5356
34	189	5213
35	189	5077
36	190	4947
37	190	4824
38	191	4709
39	191	4598
40	192	4493
41	192	4392
42	193	4296
43	193	4204
44	194	4117
45	194	4033
46	194	3952
47	195	3876
48	195	3802
49	196	3733
50	196	3665
51	197	3600
52	198	3540
53	198	3480
54	199	3422
55	199	3366
56	200	3311
57	200	3258
58	201	3212
59	202	3168
60	202	3123
61	203	3081
62	204	3037
63	204	2994
64	205	2952
65	205	2911
66	206	2871
67	206	2832
68	207	2795
69	207	2758
70	208	2723
71	208	2689
72	209	2656
73	209	2623
74	210	2590
75	210	2560
76	211	2529
77	211	2500
78	211	2471
79	213	2453
80	213	2427
81	214	2401
82	214	2372
83	215	2347
84	215	2323
85	216	2302
86	217	2282
87	217	2259
88	218	2236
89	219	2214
90	219	2192
91	219	2170
92	220	2149
93	220	2129
94	221	2109
95	221	2089
96	222	2069
97	222	2050
98	223	2032
99	223	2014
100	224	1997
101	224	1980
102	225	1963
103	225	1946
104	226	1931
105	227	1915
106	227	1900
107	228	1884
108	228	1869
109	229	1854
110	229	1839
111	230	1824
112	230	1810
113	231	1797
114	232	1786
115	232	1773
116	233	1759
117	233	1746
118	234	1733
119	234	1720
120	235	1708
121	235	1695
122	235	1682
123	236	1670
124	237	1659
125	237	1647
126	237	1635
127	238	1624
128	239	1614
129	239	1603
130	240	1593
131	240	1582
132	241	1572
133	241	1561
134	242	1551
135	242	1541
136	243	1531
137	243	1521
138	244	1511
139	244	1502
140	245	1492
141	245	1482
142	246	1475
143	247	1471
144	248	1462
145	248	1454
146	249	1448
147	250	1441
148	251	1433
149	251	1426
150	252	1419
151	252	1411
152	253	1405
153	254	1398
154	254	1390
155	255	1382
156	256	1374
157	256	1367
158	257	1359
159	257	1351
160	257	1343
161	258	1336
162	258	1328
163	259	1321
164	259	1314
165	260	1307
166	260	1300
167	261	1296
168	262	1290
169	263	1284
170	263	1278
171	264	1272
172	264	1266
173	265	1259
174	265	1253
175	266	1247
176	267	1241
177	267	1235
178	268	1229
179	268	1225
180	269	1219
181	269	1213
182	270	1207
183	270	1201
184	271	1195
185	271	1190
186	272	1184
187	272	1178
188	273	1173
189	273	1167
190	274	1162
191	275	1157
192	275	1151
193	276	1147
194	277	1143
195	277	1138
196	278	1133
197	278	1128
198	279	1123
199	279	1118
200	280	1113
201	280	1108
202	281	1103
203	281	1098
204	282	1094
205	282	1089
206	283	1084
207	283	1079
208	284	1075
209	284	1070
210	285	1066
211	285	1061
212	286	1057
213	286	1052
214	286	1047
215	287	1043
216	287	1039
217	288	1034
218	288	1030
219	289	1026
220	289	1021
221	290	1017
222	290	1013
223	291	1010
224	292	1007
225	293	1003
226	293	999
227	294	995
228	294	991
229	294	987
230	295	983
231	295	979
232	296	976
233	297	972
234	297	968
235	298	964
236	298	961
237	299	957
238	299	953
239	299	949
240	300	946
241	300	942
242	301	939
243	301	935
244	302	931
245	302	928
246	303	924
247	303	921
248	304	917
249	304	914
250	305	910
251	305	907
252	306	903
253	306	901
254	307	898
255	308	895
256	309	894
257	310	892
258	310	889
259	311	886
260	312	883
261	312	880
262	313	877
263	313	874
264	314	870
265	314	867
266	315	864
267	315	861
268	315	858
269	316	855
270	316	852
271	317	849
272	317	846
273	318	843
274	318	840
275	319	837
276	319	834
277	320	831
278	320	829
279	321	826
280	322	825
281	323	822
282	323	820
283	324	817
284	324	815
285	325	812
286	325	809
287	326	806
288	326	804
289	327	801
290	327	798
291	328	795
292	328	793
293	329	790
294	329	788
295	330	785
296	330	782
297	331	780
298	331	777
299	332	775
300	332	772
301	333	769
302	333	767
303	334	764
304	334	762
305	335	759
306	335	757
307	336	754
308	336	752
309	337	750
310	338	749
311	338	747
312	339	745
313	340	743
314	341	741
315	342	740
316	342	738
317	343	736
318	344	734
319	344	732
320	345	731
321	346	729
322	346	726
323	347	724
324	347	722
325	348	720
326	348	717
327	349	715
328	349	713
329	350	711
330	350	708
331	351	706
332	352	705
333	352	703
334	353	702
335	354	700
336	354	698
337	355	696
338	355	694
339	356	692
340	356	689
341	357	687
342	357	685
343	358	683
344	358	681
345	359	679
346	359	677
347	360	675
348	360	673
349	361	671
350	361	668
351	362	666
352	362	664
353	363	662
354	363	660
355	364	658
356	364	656
357	365	654
358	365	652
359	366	650
360	366	648
361	368	648
362	369	647
363	369	646
364	370	644
365	371	643
366	371	641
367	372	639
368	373	638
369	374	636
370	374	635
371	375	633
372	376	632
373	376	630
374	377	629
375	378	627
376	378	626
377	379	624
378	380	622
379	381	622
380	382	621
381	383	620
382	383	618
383	384	616
384	384	614
385	385	612
386	385	611
387	386	609
388	386	607
389	387	605
390	388	604
391	388	603
392	389	601
393	389	599
394	390	597
395	390	596
396	391	594
397	391	592
398	392	590
399	392	589
400	393	587
401	393	585
402	394	584
403	394	582
404	395	580
405	395	579
406	396	577
407	397	576
408	398	575
409	398	574
410	399	572
411	400	571
412	400	569
413	401	568
414	402	566
415	402	565
416	403	564
417	404	562
418	404	561
419	405	559
420	405	558
421	406	557
422	407	555
423	408	554
424	408	552
425	409	551
426	410	550
427	410	548
428	411	547
429	412	546
430	413	545
431	414	544
432	414	543
433	415	541
434	416	540
435	416	539
436	417	537
437	418	536
438	419	535
439	419	534
440	420	532
441	420	531
442	421	529
443	422	528
444	422	527
445	423	526
446	424	524
447	424	523
448	425	522
449	426	520
450	426	519
451	427	518
452	428	517
453	429	516
454	430	515
455	430	513
456	431	512
457	432	511
458	432	510
459	433	508
460	434	507
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	500
467	439	499
468	439	498
469	440	496
470	441	495
471	442	494
472	442	493
473	443	492
474	444	491
475	444	489
476	445	488
477	445	486
478	446	485
479	446	484
480	447	482
481	447	481
482	448	479
483	448	478
484	449	477
485	449	475
486	450	474
487	450	473
488	451	471
489	452	470
490	452	469
491	453	468
492	453	466
493	454	465
494	454	463
495	455	462
496	455	461
497	456	459
498	456	458
499	457	457
500	458	456
501	458	455
502	459	453
503	459	452
504	460	451
505	461	450
506	461	449
507	462	447
508	462	446
509	463	445
510	463	443
511	464	442
512	464	441
513	465	439
514	465	438
515	466	437
516	466	436
517	467	434
518	467	433
519	468	432
520	468	430
521	469	429
522	469	428
523	470	427
524	470	425
525	471	424
526	471	423
527	472	422
528	472	421
529	473	420
530	474	418
531	474	417
532	475	416
533	475	415
534	476	413
535	476	412
536	477	411
537	477	410
538	477	408
539	478	407
540	478	406
541	479	405
542	479	403
543	480	402
544	481	401
545	481	400
546	482	399
547	482	397
548	483	396
549	483	395
550	483	394
551	484	393
552	484	392
553	485	390
554	485	389
555	486	388
556	486	387
557	487	386
558	488	385
559	488	384
560	489	382
561	489	381
562	490	380
563	490	379
564	491	378
565	491	377
566	492	376
567	492	374
568	493	373
569	493	372
570	494	371
571	494	370
572	495	369
573	495	368
574	496	367
575	497	366
576	497	364
577	498	363
578	498	362
579	499	361
580	499	360
581	500	359
582	500	358
583	501	357
584	501	355
585	502	354
586	502	353
587	503	352
588	504	352
589	505	351
590	505	350
591	506	349
592	507	348
593	508	347
594	508	346
595	509	345
596	510	344
597	510	343
598	511	342
599	512	341
600	512	340
601	513	339
602	513	338
603	514	337
604	514	336
605	515	335
606	515	334
607	516	332
608	516	331
609	517	330
610	518	330
611	519	329
612	520	328
613	520	327
614	521	326
615	522	325
616	522	324
617	523	323
618	524	322
619	525	321
620	525	320
621	526	319
622	526	318
623	527	317
624	528	316
625	528	315
626	529	314
627	530	313
628	530	313
629	531	312
630	531	311
631	532	310
632	533	309
633	534	308
634	534	307
635	535	306
636	535	305
637	536	304
638	536	303
639	537	302
640	537	301
641	538	300
642	538	299
643	539	298
644	539	297
645	540	296
646	540	295
647	541	294
648	541	293
649	542	291
650	542	290
651	543	289
652	543	288
653	544	287
654	544	286
655	545	285
656	545	284
657	546	283
658	546	282
659	546	281
660	547	280
661	548	279
662	548	278
663	549	278
664	550	277
665	551	276
666	551	275
667	552	274
668	552	273
669	553	272
670	553	271
671	553	270
672	554	269
673	554	268
674	555	267
675	555	266
676	556	265
677	556	264
678	557	263
679	557	262
680	558	261
681	558	260
682	559	259
683	559	258
684	560	257
685	560	256
686	561	255
687	561	254
688	562	253
689	562	252
690	563	252
691	564	251
692	564	250
693	565	249
694	565	248
695	566	247
696	566	246
697	567	245
698	567	244
699	568	243
700	568	242
701	569	241
702	569	240
703	570	239
704	570	238
705	571	237
706	571	236
707	572	235
708	572	235
709	573	234
710	573	233
711	574	232
712	574	231
713	575	230
714	575	229
715	576	228
716	576	227
717	577	226
718	577	225
719	578	224
720	578	223
721	579	223
722	579	222
723	580	221
724	581	220
725	581	219
726	582	218
727	582	217
728	583	216
729	583	215
730	584	215
731	584	214
732	585	213
733	585	212
734	586	211
735	586	210
736	587	209
737	587	208
738	588	207
739	588	206
740	589	205
741	589	205
742	590	204
743	590	203
744	591	202
745	591	201
